,Average Eff PSF,Average Eff. Rental,Average Face PSF,Average Face Rental,Average Govt Rates PSF/ Mth,Average Govt Rent PSF/ Mth,Average Govt. Rates/ Mth,Average Govt. Rent/ Mth,Average MFA,Average Net PSF,Average Net Rental,Count,Label,Trade Name,Unit
107,93.535,88858.25,93.335,88668.25,7.095,4.255,6740.74,4044.445,950,95.375,90606.25,2,1,Regina MirXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 26B
108,60.75,80250.75,50.14,66234.94,6.17,3.7,8148.15,4888.89,1321,62.42,82456.82,1,0,6IXTY 8IGHXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 26C
109,60.75,62208,50.14,51343.36,7.96,4.77,8148.15,4888.89,1024,62.42,63918.08,1,0,6IXTY 8IGHXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 26D
110,60.75,54978.75,50.14,45376.7,9,5.4,8148.15,4888.89,905,62.42,56490.1,1,0,6IXTY 8IGHXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 26E
111,46.33,89370.57,43.08,83101.32,2.15,1.29,4155.06,2493.17,1929,47.69,91994.01,1,0,Nail BeautXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 27A
112,67.33666667,58515.56333,66.98222222,58207.55111,2.906666667,1.744444444,2524.006667,1514.403333,869,68.06333333,59147.03667,5,1,Nail BeautXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,UG 02C
113,63.945,123797.52,62.345,120699.92,3.15,1.89,6098.765,3659.26,1936,66.695,129121.52,1,0,RabbitXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 27B
114,63.945,123797.52,62.345,120699.92,3.15,1.89,6098.765,3659.26,1936,66.695,129121.52,1,0,IL COLPOXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 27B
115,50.672,35470.4,50.728,35509.6,1.99,1.194,1392.592,835.556,700,51.32,35924,2,1,DNA VisualXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 28
116,50.672,35470.4,50.728,35509.6,1.99,1.194,1392.592,835.556,700,51.32,35924,3,1,Tracery CuXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 28
117,28.814375,21149.75125,28.93625,21239.2075,38.854375,23.283125,28517.82625,17090.98,734,28.9575,21254.805,3,1,Tracery CuXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 47
118,47.36,431165.44,46.1,419694.4,2.31,1.38,20987.65,12592.59,9104,49.15,447461.6,1,0,Gyu-kaku &XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 28A
119,50.25,201251.25,46.85,187634.25,2.34,1.41,9382.72,5629.63,4005,51.78,207378.9,1,0,Lemon GrasXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 28B
120,52.98,41059.5,52.245,40489.875,2.405,1.44,1864.195,1118.52,775,54,41850,2,1,Ebony & IvXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 28C
121,54.27333333,30827.25333,54.48333333,30946.53333,2.546666667,1.53,1448.56,869.1333333,568,55.54333333,31548.61333,2,1,SheroXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 28D
122,62.81,23176.89,62.45333333,23045.28,3.006666667,1.803333333,1109.466667,665.6766667,369,63.57,23457.33,1,0,SheroXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 28J
123,54.27333333,30827.25333,54.48333333,30946.53333,2.546666667,1.53,1448.56,869.1333333,568,55.54333333,31548.61333,1,0,Embry FormXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 28D
124,55.45454545,42478.18182,55.81818182,42756.72727,2.479090909,1.460909091,1899.214545,1118.788182,766,56.37272727,43181.50909,3,1,Embry FormXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,UG 02A
125,66.605,35500.465,67.675,36070.775,3.745,2.245,1996.05,1197.695,533,69.365,36971.545,1,0,Index PlusXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 28E
126,66.605,35500.465,67.675,36070.775,3.745,2.245,1996.05,1197.695,533,69.365,36971.545,1,0,Seoul inXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 28E
127,57.93,24098.88,56.88,23662.08,2.835,1.7,1178.11,706.83,416,58.725,24429.6,2,1,Mall RiverXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 28F
128,77.07571429,31061.51286,77.04428571,31048.84714,3.27,1.844285714,1317.134286,743.1457143,403,78.52285714,31644.71143,2,1,Mall RiverXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,UG 05A
129,50.875,26811.125,49.7,26191.9,4.725,2.83,2489.545,1493.66,527,51.515,27148.405,2,1,TriumphXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 28G
130,50.875,26404.125,49.7,25794.3,4.8,2.88,2489.545,1493.66,519,51.515,26736.285,2,1,TriumphXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 28H
131,62.01333333,71873.45333,60.93,70617.87,2.328333333,1.398333333,2697.53,1618.52,1159,63.82333333,73971.24333,2,1,TriumphXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,UG 27
132,62.81,23176.89,62.45333333,23045.28,3.006666667,1.803333333,1109.466667,665.6766667,369,63.57,23457.33,2,1,Mini NichoXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 28J
133,44.32,54646.56,43.93142857,54167.45143,1.868571429,1.121428571,2306.878571,1384.125714,1233,44.50714286,54877.30714,1,0,Talent BeaXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 29
134,44.32,54646.56,43.93142857,54167.45143,1.868571429,1.121428571,2306.878571,1384.125714,1233,44.50714286,54877.30714,1,0,TALENT BEAXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1/F 29
